rank,name,pop2022,pop2010,growth,density,aland_sqmi,latitude,longitiude
31,Douglasville,35381,30462,0.1615,1569,22.557,33.74,-84.71
384,Greenville,845,876,-0.0354,360,2.344,33.03,-84.72
295,Colquitt,1873,1999,-0.063,228,8.232,31.17,-84.73
341,Arlington,1212,1475,-0.1783,303,3.997,31.44,-84.73
310,Emerson,1620,1473,0.0998,188,8.633,34.13,-84.74
336,Edison,1234,1550,-0.2039,527,2.34,31.56,-84.74
363,Waverly Hall,981,738,0.3293,294,3.337,32.68,-84.74
386,Luthersville,828,871,-0.0494,262,3.164,33.21,-84.74
207,Chattahoochee Hills,3645,2652,0.3744,63,58.033,33.56,-84.75
405,White,725,672,0.0789,752,0.964,34.28,-84.75
21,Newnan,46840,33050,0.4172,2425,19.317,33.38,-84.77
178,Hiram,4559,3582,0.2728,1147,3.974,33.88,-84.77
375,Eton,911,889,0.0247,724,1.258,34.83,-84.77
465,Moreland,441,431,0.0232,488,0.903,33.29,-84.77
185,Chatsworth,4251,4290,-0.0091,800,5.317,34.78,-84.78
389,East Newnan,810,1321,-0.3868,287,2.826,33.35,-84.78
102,Cusseta,11828,11182,0.0578,48,248.737,32.35,-84.79
213,Cuthbert,3408,3853,-0.1155,1119,3.046,31.77,-84.79
51,Cartersville,23545,19763,0.1914,812,28.998,34.16,-84.8
324,Lumpkin,1365,1124,0.2144,863,1.582,32.05,-84.8
214,Grantville,3362,3068,0.0958,580,5.794,33.24,-84.83
84,Dallas,15082,11561,0.3046,2043,7.381,33.92,-84.84
316,Pine Mountain,1486,1304,0.1396,486,3.056,32.85,-84.85
2,Columbus,200569,191101,0.0495,927,216.479,32.51,-84.88
277,Donalsonville,2217,2664,-0.1678,558,3.971,31.04,-84.88
357,Hamilton,1072,1021,0.05,314,3.414,32.76,-84.88
229,Hogansville,3161,3037,0.0408,432,7.317,33.17,-84.9
424,Whitesburg,608,591,0.0288,220,2.769,33.49,-84.91
69,Villa Rica,17621,14071,0.2523,1251,14.084,33.73,-84.92
165,Adairsville,5080,4657,0.0908,543,9.354,34.37,-84.92
182,Blakely,4382,5047,-0.1318,250,17.551,31.38,-84.92
180,Euharlee,4391,4141,0.0604,813,5.404,34.14,-84.93
68,Calhoun,17979,16259,0.1058,1151,15.621,34.49,-84.94
391,Resaca,806,769,0.0481,292,2.764,34.58,-84.94
397,Kingston,757,639,0.1847,601,1.259,34.23,-84.94
421,Cohutta,625,633,-0.0126,133,4.686,34.95,-84.96
484,Braswell,386,375,0.0293,122,3.164,33.98,-84.96
37,Dalton,34049,33145,0.0273,1657,20.554,34.77,-84.97
280,Varnell,2157,2087,0.0335,566,3.811,34.9,-84.97
263,Georgetown-Quitman County unified government,2416,2512,-0.0382,16,151.237,31.87,-85.02
155,Temple,5491,4349,0.2626,806,6.809,33.73,-85.03
43,LaGrange,30419,29416,0.0341,723,42.096,33.03,-85.04
172,Rockmart,4775,4216,0.1326,846,5.642,34.01,-85.04
374,Tunnel Hill,919,898,0.0234,471,1.951,34.85,-85.04
376,Fort Gaines,903,1108,-0.185,189,4.775,31.62,-85.05
318,Aragon,1483,1268,0.1696,1363,1.088,34.05,-85.06
46,Carrollton,29674,24347,0.2188,1330,22.316,33.58,-85.08
296,Shannon,1870,1862,0.0043,376,4.98,34.34,-85.09
356,Franklin,1085,998,0.0872,338,3.21,33.28,-85.1
492,Centralhatchee,374,384,-0.026,114,3.276,33.37,-85.1
206,Ringgold,3681,3489,0.055,748,4.918,34.91,-85.12
203,West Point,3728,3460,0.0775,319,11.695,32.9,-85.14
141,Bremen,6914,6235,0.1089,652,10.602,33.71,-85.15
255,Indian Springs,2509,2241,0.1196,971,2.583,34.96,-85.16
169,Lindale,4789,4191,0.1427,874,5.477,34.19,-85.18
299,Mount Zion,1834,1707,0.0744,191,9.611,33.64,-85.18
346,Buchanan,1185,1109,0.0685,796,1.489,33.8,-85.18
28,Rome,37052,36441,0.0168,1175,31.536,34.27,-85.19
445,Waco,533,517,0.0309,290,1.835,33.7,-85.19
111,Fort Oglethorpe,9796,9320,0.0511,705,13.899,34.93,-85.25
115,Cedartown,9397,9798,-0.0409,1029,9.13,34.02,-85.25
164,Lakeview,5089,4839,0.0517,2240,2.272,34.98,-85.25
285,Bowdon,2100,2041,0.0289,618,3.399,33.54,-85.25
461,Ephesus,461,462,-0.0022,125,3.694,33.41,-85.26
136,LaFayette,7495,7127,0.0516,927,8.086,34.71,-85.28
145,Fairview,6540,6769,-0.0338,869,7.526,34.93,-85.29
196,Rossville,3976,4102,-0.0307,2202,1.806,34.97,-85.29
226,Chickamauga,3244,3235,0.0028,1146,2.831,34.87,-85.29
227,Tallapoosa,3221,3173,0.0151,321,10.028,33.73,-85.29
266,Trion,2340,1822,0.2843,610,3.834,34.55,-85.31
228,Chattanooga Valley,3186,3846,-0.1716,429,7.42,34.92,-85.34
355,Cave Spring,1100,1157,-0.0493,300,3.667,34.11,-85.34
190,Summerville,4117,4503,-0.0857,1026,4.014,34.48,-85.35
311,Lookout Mountain,1580,1599,-0.0119,594,2.659,34.97,-85.36
454,Lyerly,505,528,-0.0436,672,0.751,34.4,-85.4
464,Menlo,447,473,-0.055,571,0.783,34.48,-85.48
279,Trenton,2163,2296,-0.0579,673,3.216,34.87,-85.51
