rank,name,pop2022,pop2010,growth,density,aland_sqmi,latitude,longitiude
367,Norman Park,962,967,-0.0052,312,3.079,31.27,-83.68
419,Pendergrass,640,452,0.4159,211,3.037,34.16,-83.68
130,Centerville,8118,7232,0.1225,2049,3.962,32.63,-83.69
243,Monticello,2803,2685,0.0439,674,4.161,33.31,-83.69
314,Russell,1497,1203,0.2444,1255,1.193,33.98,-83.69
385,Newborn,837,696,0.2026,525,1.595,33.52,-83.7
174,Social Circle,4628,4210,0.0993,318,14.576,33.65,-83.71
396,Bethlehem,767,616,0.2451,308,2.492,33.94,-83.71
57,Winder,20619,14448,0.4271,1510,13.655,33.99,-83.72
90,Monroe,14183,12907,0.0989,905,15.678,33.8,-83.72
429,Helen,593,513,0.1559,274,2.167,34.7,-83.72
60,Perry,19577,13818,0.4168,732,26.757,32.47,-83.73
441,Arabi,552,586,-0.058,88,6.295,31.83,-83.73
220,Unadilla,3324,3781,-0.1209,550,6.043,32.26,-83.74
426,Pavo,604,625,-0.0336,343,1.76,30.96,-83.74
455,Yonah,496,507,-0.0217,159,3.127,34.64,-83.74
460,Mansfield,466,402,0.1592,426,1.093,33.52,-83.74
474,Sumner,418,447,-0.0649,236,1.772,31.51,-83.74
495,Barwick,372,385,-0.0338,518,0.718,30.89,-83.74
157,Byron,5412,4577,0.1824,617,8.767,32.65,-83.75
372,Hiawassee,944,865,0.0913,584,1.616,34.95,-83.75
171,Cleveland,4777,3471,0.3763,1233,3.874,34.6,-83.76
238,Hoschton,2972,1384,1.1474,615,4.831,34.09,-83.76
491,Pinehurst,376,448,-0.1607,370,1.017,32.2,-83.76
88,Moultrie,14655,14318,0.0235,880,16.661,31.16,-83.77
109,Cordele,10044,11180,-0.1016,991,10.138,31.96,-83.77
351,Clermont,1138,928,0.2263,385,2.953,34.48,-83.77
225,Vienna,3279,3991,-0.1784,600,5.466,32.09,-83.79
329,Boston,1332,1316,0.0122,591,2.253,30.79,-83.79
383,Poulan,846,957,-0.116,506,1.673,31.51,-83.79
482,Between,388,296,0.3108,329,1.181,33.82,-83.8
73,Braselton,17029,7610,1.2377,1308,13.024,34.11,-83.81
19,Gainesville,48878,34057,0.4352,1483,32.951,34.29,-83.83
134,Auburn,7726,7059,0.0945,1146,6.74,34.01,-83.83
151,Sylvester,5863,6186,-0.0522,894,6.56,31.53,-83.84
86,Covington,14794,13139,0.126,941,15.728,33.6,-83.85
308,Young Harris,1682,909,0.8504,1767,0.952,34.94,-83.85
327,Walnut Grove,1351,1293,0.0449,476,2.841,33.75,-83.85
260,Oxford,2448,2129,0.1498,1137,2.153,33.63,-83.87
446,Coolidge,532,530,0.0038,651,0.817,31.01,-83.87
117,Fort Valley,9004,9797,-0.0809,1194,7.538,32.55,-83.88
189,Oakwood,4129,3947,0.0461,734,5.628,34.22,-83.88
462,Funston,453,452,0.0022,397,1.142,31.2,-83.88
144,Dacula,6653,4459,0.492,1240,5.367,33.98,-83.89
317,Porterdale,1484,1429,0.0385,624,2.379,33.57,-83.89
91,Loganville,14119,10429,0.3538,1924,7.34,33.84,-83.9
410,Flovilla,702,646,0.0867,359,1.958,33.25,-83.9
113,Flowery Branch,9639,5774,0.6694,1357,7.104,34.17,-83.91
407,Doerun,718,775,-0.0735,574,1.25,31.32,-83.92
494,Warwick,374,417,-0.1031,461,0.812,31.83,-83.92
187,Forsyth,4157,3873,0.0733,706,5.887,33.03,-83.94
350,Marshallville,1158,1436,-0.1936,371,3.124,32.46,-83.94
406,Blairsville,718,618,0.1618,649,1.106,34.88,-83.95
176,Grayson,4608,2564,0.7972,1869,2.466,33.89,-83.96
153,Jackson,5719,5072,0.1276,941,6.078,33.29,-83.97
65,Thomasville,18548,18571,-0.0012,1236,15.011,30.84,-83.98
126,Dahlonega,8395,5546,0.5137,954,8.798,34.53,-83.98
36,Lawrenceville,34281,27297,0.2559,2518,13.612,33.95,-83.99
77,Buford,16611,12601,0.3182,951,17.468,34.12,-83.99
56,Snellville,20623,18322,0.1256,1970,10.471,33.86,-84
72,Conyers,17033,15286,0.1143,1458,11.68,33.66,-84
362,Roberta,988,1003,-0.015,664,1.489,32.72,-84.01
244,Montezuma,2760,3436,-0.1967,605,4.561,32.3,-84.02
261,Lakeview Estates,2446,2695,-0.0924,4815,0.508,33.7,-84.04
477,Jenkinsburg,400,370,0.0811,307,1.302,33.32,-84.04
411,Ochlocknee,692,676,0.0237,747,0.926,30.98,-84.05
47,Sugar Hill,26243,18588,0.4118,2367,11.088,34.11,-84.06
352,Oglethorpe,1129,1330,-0.1511,566,1.993,32.29,-84.06
55,Suwanee,21954,15407,0.4249,2019,10.876,34.05,-84.07
360,Meigs,1040,1037,0.0029,668,1.556,31.07,-84.09
369,Reynolds,948,1067,-0.1115,476,1.99,32.56,-84.09
498,Leslie,362,408,-0.1127,205,1.77,31.95,-84.09
252,Putney,2549,2898,-0.1204,116,22.021,31.48,-84.1
104,Locust Grove,11438,5821,0.965,1000,11.437,33.34,-84.11
272,Lithonia,2283,1987,0.149,2460,0.928,33.71,-84.11
202,Dawsonville,3729,2440,0.5283,433,8.605,34.44,-84.12
92,Mountain Park,13392,11554,0.1591,2312,5.792,33.85,-84.13
143,Cumming,6754,5556,0.2156,1010,6.689,34.21,-84.13
436,Mountain Park,562,549,0.0237,1216,0.462,33.85,-84.13
93,Lilburn,13311,11690,0.1387,2081,6.396,33.89,-84.14
497,Yatesville,366,371,-0.0135,424,0.863,32.91,-84.14
44,Duluth,29909,26747,0.1182,2927,10.22,34.01,-84.15
45,McDonough,29828,22166,0.3457,2364,12.62,33.44,-84.15
147,Barnesville,6434,6725,-0.0433,1059,6.074,33.05,-84.15
217,Pelham,3352,3908,-0.1423,822,4.078,31.13,-84.15
40,Redan,31873,33015,-0.0346,3942,8.085,33.74,-84.16
393,Baconton,791,915,-0.1355,405,1.952,31.38,-84.16
149,Stone Mountain,6200,5841,0.0615,3769,1.645,33.8,-84.17
232,Leesburg,3139,2902,0.0817,636,4.936,31.73,-84.17
13,Albany,68863,77420,-0.1105,1251,55.065,31.58,-84.18
278,Berkeley Lake,2183,1851,0.1794,1250,1.747,33.98,-84.18
233,Heron Bay,3130,3384,-0.0751,694,4.511,33.34,-84.19
415,Milner,663,621,0.0676,320,2.073,33.12,-84.19
473,Ideal,424,495,-0.1434,371,1.144,32.37,-84.19
487,Salem,382,310,0.2323,43,8.824,32.76,-84.19
10,Johns Creek,85356,77090,0.1072,2770,30.813,34.03,-84.2
116,Cairo,9309,9636,-0.0339,952,9.779,30.88,-84.2
76,Norcross,16679,15008,0.1113,2735,6.098,33.94,-84.21
167,Camilla,4865,5303,-0.0826,737,6.601,31.24,-84.21
399,Pine Lake,739,730,0.0123,3105,0.238,33.79,-84.21
26,Tucker,37136,33411,0.1115,1846,20.12,33.85,-84.22
89,Americus,14364,17019,-0.156,1271,11.301,32.07,-84.22
41,Stockbridge,30861,26597,0.1603,2258,13.67,33.53,-84.23
321,East Griffin,1386,1451,-0.0448,967,1.433,33.24,-84.23
99,Clarkston,12355,12115,0.0198,6826,1.81,33.81,-84.24
